epoch,train_acc,train_loss
1,11.9,4.874719236907959
2,24.952,4.973816552276611
3,35.242,5.170096824188232
4,42.438,5.467556380310058
5,47.266,5.82437391418457
6,51.396,6.204262085266113
7,54.238,6.639772957000733
8,56.472,7.08112325881958
9,57.886,7.544307056121826
10,59.238,7.993891211547852
11,60.484,8.4954156350708
12,61.368,8.963176941833495
13,61.782,9.458894812011719
14,62.482,9.911156773376465
15,63.01,10.436296176452636
16,63.332,11.000502114257813
17,63.746,11.436708515625
18,64.074,11.995555709228515
19,64.356,12.472959385375976
20,64.83,12.960787284545898
21,65.452,12.797918929443359
22,65.826,12.705349903564453
23,66.144,12.62581575378418
24,66.376,12.498296911010742
25,66.406,12.464192803344726
26,66.876,12.41283105682373
27,66.96,12.370893225097657
28,67.216,12.299767568664551
29,67.384,12.27434538635254
30,67.302,12.313369987182616
31,67.546,12.246363050842286
32,67.644,12.22316763671875
33,67.99,12.140511082763672
34,67.64,12.14143071838379
35,68.024,12.078830292663573
36,68.094,12.11103540588379
37,68.188,12.071651850280762
38,68.364,12.081949440612792
39,68.57,11.991822506103516
40,68.202,12.055091186218261
41,68.43,11.97911702758789
42,68.318,11.989781493530273
43,68.774,11.952626161499023
44,68.748,11.93868997406006
45,68.436,12.004603934020997
46,68.904,11.892662180175781
47,68.856,11.927001440124512
48,68.89,11.913839489746094
49,68.892,11.869328934020997
50,68.7,11.87826392211914
51,68.988,11.880600384521484
52,69.01,11.931198780212402
53,69.03,11.84445966949463
54,68.882,11.85991528137207
55,68.746,11.91353617919922
56,69.382,11.782604920959473
57,69.292,11.79040818511963
58,69.1,11.801453350219727
59,69.152,11.784315105895995
60,69.242,11.810817095947266
61,76.84,9.617255757141113
62,78.862,9.079157479553222
63,79.81,8.889284959716797
64,80.41,8.698299767456055
65,80.648,8.58464075805664
66,81.246,8.500189110412597
67,81.336,8.425078037109374
68,81.722,8.385970321350097
69,82.106,8.33384773147583
70,82.344,8.272743022766113
71,82.592,8.19646135559082
72,82.794,8.209641378173828
73,82.728,8.160492547912598
74,83.004,8.14687850341797
75,82.962,8.121034847564697
76,84.812,7.6019039868164064
77,85.27,7.485272054748535
78,85.378,7.459473129272461
79,85.348,7.443597391357422
80,85.752,7.37041294921875
81,85.716,7.390842210083008
82,85.736,7.3817088275146485
83,85.782,7.370281819152832
84,85.686,7.349158869934082
85,85.878,7.333688880767823
86,85.858,7.312105479125977
87,85.946,7.3069011282348635
88,86.224,7.305360770263672
89,85.932,7.288798852233887
90,86.16,7.297352834472656
91,86.45,7.213631300354004
92,86.52,7.216842340698242
93,86.372,7.196716791381836
94,86.456,7.170855371704102
95,86.454,7.180814528808594
96,86.432,7.189231148834229
97,86.344,7.183269981994629
98,86.398,7.181177621459961
99,86.442,7.1669387258911135
100,86.49,7.166208852539063
